,atomic_number,atomic_weight,covalent_radius_pyykko,electron_negativity,en_ghosh,num_unfilled,num_d_unfilled,num_d_valence,num_f_unfilled,num_f_valence,num_p_unfilled,num_p_valence,num_s_unfilled,num_s_valence,period,vdw_radius,vdw_radius_uff,group,num_valence
H,1.0,1.008,32.0,2.2,0.2638,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,110.0,288.6,1.0,1.0
He,2.0,4.002602,46.0,4.16,0.442712,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,1.0,140.0,236.2,18.0,2.0
Li,3.0,6.94,133.0,0.98,0.105093,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,2.0,182.0,245.1,1.0,1.0
Be,4.0,9.0121831,102.0,1.57,0.144986,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,2.0,153.0,274.5,2.0,2.0
B,5.0,10.81,85.0,2.04,0.184886,5.0,0.0,0.0,0.0,0.0,5.0,1.0,0.0,2.0,2.0,192.0,408.3,13.0,3.0
C,6.0,12.011,75.0,2.55,0.22477600000000006,4.0,0.0,0.0,0.0,0.0,4.0,2.0,0.0,2.0,2.0,170.0,385.1,14.0,4.0
N,7.0,14.007,71.0,3.04,0.26493,3.0,0.0,0.0,0.0,0.0,3.0,3.0,0.0,2.0,2.0,155.0,366.0,15.0,5.0
O,8.0,15.999,63.0,3.44,0.304575,2.0,0.0,0.0,0.0,0.0,2.0,4.0,0.0,2.0,2.0,152.0,350.0,16.0,6.0
F,9.0,18.99840316,64.0,3.98,0.344443,1.0,0.0,0.0,0.0,0.0,1.0,5.0,0.0,2.0,2.0,147.0,336.4,17.0,7.0
Ne,10.0,20.1797,67.0,4.79,0.38439,0.0,0.0,0.0,0.0,0.0,0.0,6.0,0.0,2.0,2.0,154.0,324.3,18.0,8.0
Na,11.0,22.98976928,155.0,0.93,0.093214,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,3.0,227.0,298.3,1.0,1.0
Mg,12.0,24.305,139.0,1.31,0.121644,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,3.0,173.0,302.1,2.0,2.0
Al,13.0,26.9815385,126.0,1.61,0.150078,5.0,0.0,0.0,0.0,0.0,5.0,1.0,0.0,2.0,3.0,184.0,449.9,13.0,3.0
Si,14.0,28.085,116.0,1.9,0.178503,4.0,0.0,0.0,0.0,0.0,4.0,2.0,0.0,2.0,3.0,210.0,429.5,14.0,4.0
P,15.0,30.973762,111.0,2.19,0.206931,3.0,0.0,0.0,0.0,0.0,3.0,3.0,0.0,2.0,3.0,180.0,414.7,15.0,5.0
S,16.0,32.06,103.0,2.58,0.23596,2.0,0.0,0.0,0.0,0.0,2.0,4.0,0.0,2.0,3.0,180.0,403.5,16.0,6.0
Cl,17.0,35.45,99.0,3.16,0.263803,1.0,0.0,0.0,0.0,0.0,1.0,5.0,0.0,2.0,3.0,175.0,394.7,17.0,7.0
Ar,18.0,39.948,96.0,3.24,0.2922,0.0,0.0,0.0,0.0,0.0,0.0,6.0,0.0,2.0,3.0,188.0,386.8,18.0,8.0
K,19.0,39.0983,196.0,0.82,0.0981896,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,4.0,275.0,381.2,1.0,1.0
Ca,20.0,40.078,171.0,1.0,0.1154119,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,4.0,231.0,339.9,2.0,2.0
Sc,21.0,44.955908,148.0,1.36,0.1193833,9.0,9.0,1.0,0.0,0.0,0.0,0.0,0.0,2.0,4.0,215.0,329.5,3.0,3.0
Ti,22.0,47.867,136.0,1.54,0.1233637,8.0,8.0,2.0,0.0,0.0,0.0,0.0,0.0,2.0,4.0,211.0,317.5,4.0,4.0
V,23.0,50.9415,134.0,1.63,0.1273344,7.0,7.0,3.0,0.0,0.0,0.0,0.0,0.0,2.0,4.0,207.0,314.4,5.0,5.0
Cr,24.0,51.9961,122.0,1.66,0.1313053,6.0,5.0,5.0,0.0,0.0,0.0,0.0,1.0,1.0,4.0,206.0,302.3,6.0,6.0
Mn,25.0,54.938044,119.0,1.55,0.1352844,5.0,5.0,5.0,0.0,0.0,0.0,0.0,0.0,2.0,4.0,205.0,296.1,7.0,7.0
Fe,26.0,55.845,116.0,1.83,0.13925320000000002,4.0,4.0,6.0,0.0,0.0,0.0,0.0,0.0,2.0,4.0,204.0,291.2,8.0,8.0
Co,27.0,58.93319399999999,111.0,1.88,0.14323629999999998,3.0,3.0,7.0,0.0,0.0,0.0,0.0,0.0,2.0,4.0,200.0,287.2,9.0,9.0
Ni,28.0,58.6934,110.0,1.91,0.1472068,2.0,2.0,8.0,0.0,0.0,0.0,0.0,0.0,2.0,4.0,197.0,283.4,10.0,10.0
Cu,29.0,63.54600000000001,112.0,1.9,0.15117160000000002,1.0,0.0,10.0,0.0,0.0,0.0,0.0,1.0,1.0,4.0,196.0,349.5,11.0,11.0
Zn,30.0,65.38,118.0,1.65,0.15515179999999998,0.0,0.0,10.0,0.0,0.0,0.0,0.0,0.0,2.0,4.0,201.0,276.3,12.0,12.0
Ga,31.0,69.723,124.0,1.81,0.17237729999999998,5.0,0.0,10.0,0.0,0.0,5.0,1.0,0.0,2.0,4.0,187.0,438.3,13.0,13.0
Ge,32.0,72.63,121.0,2.01,0.1895892,4.0,0.0,10.0,0.0,0.0,4.0,2.0,0.0,2.0,4.0,211.0,428.0,14.0,14.0
As,33.0,74.921595,121.0,2.18,0.2068208,3.0,0.0,10.0,0.0,0.0,3.0,3.0,0.0,2.0,4.0,185.0,423.0,15.0,15.0
Se,34.0,78.971,116.0,2.55,0.2240328,2.0,0.0,10.0,0.0,0.0,2.0,4.0,0.0,2.0,4.0,190.0,420.5,16.0,16.0
Br,35.0,79.904,114.0,2.96,0.2412578,1.0,0.0,10.0,0.0,0.0,1.0,5.0,0.0,2.0,4.0,185.0,418.9,17.0,17.0
Kr,36.0,83.79799999999999,117.0,3.0,0.2584813,0.0,0.0,10.0,0.0,0.0,0.0,6.0,0.0,2.0,4.0,202.0,414.1,18.0,18.0
Rb,37.0,85.4678,210.0,0.82,0.104686,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,5.0,303.0,411.4,1.0,1.0
Sr,38.0,87.62,185.0,0.95,0.1185082,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,5.0,249.0,364.1,2.0,2.0
Y,39.0,88.90584,163.0,1.22,0.1216986,9.0,9.0,1.0,0.0,0.0,0.0,0.0,0.0,2.0,5.0,232.0,334.5,3.0,3.0
Zr,40.0,91.224,154.0,1.33,0.1248887,8.0,8.0,2.0,0.0,0.0,0.0,0.0,0.0,2.0,5.0,223.0,312.4,4.0,4.0
Nb,41.0,92.90637,147.0,1.6,0.1280782,7.0,6.0,4.0,0.0,0.0,0.0,0.0,1.0,1.0,5.0,218.0,316.5,5.0,5.0
Mo,42.0,95.95,138.0,2.16,0.1312672,6.0,5.0,5.0,0.0,0.0,0.0,0.0,1.0,1.0,5.0,217.0,305.2,6.0,6.0
Tc,43.0,97.90721,128.0,1.9,0.1344592,5.0,5.0,5.0,0.0,0.0,0.0,0.0,0.0,2.0,5.0,216.0,299.8,7.0,7.0
Ru,44.0,101.07,125.0,2.2,0.1376494,4.0,3.0,7.0,0.0,0.0,0.0,0.0,1.0,1.0,5.0,213.0,296.3,8.0,8.0
Rh,45.0,102.9055,125.0,2.28,0.1408379,3.0,2.0,8.0,0.0,0.0,0.0,0.0,1.0,1.0,5.0,210.0,292.9,9.0,9.0
Pd,46.0,106.42,120.0,2.2,0.1440276,0.0,0.0,10.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,210.0,289.9,10.0,10.0
Ag,47.0,107.8682,128.0,1.93,0.1472165,1.0,0.0,10.0,0.0,0.0,0.0,0.0,1.0,1.0,5.0,211.0,314.8,11.0,11.0
Cd,48.0,112.414,136.0,1.69,0.1504066,0.0,0.0,10.0,0.0,0.0,0.0,0.0,0.0,2.0,5.0,218.0,284.8,12.0,12.0
In,49.0,114.818,142.0,1.78,0.16423,5.0,0.0,10.0,0.0,0.0,5.0,1.0,0.0,2.0,5.0,193.0,446.3,13.0,13.0
Sn,50.0,118.71,140.0,1.96,0.178052,4.0,0.0,10.0,0.0,0.0,4.0,2.0,0.0,2.0,5.0,217.0,439.2,14.0,14.0
Sb,51.0,121.76,140.0,2.05,0.1918774,3.0,0.0,10.0,0.0,0.0,3.0,3.0,0.0,2.0,5.0,206.0,442.0,15.0,15.0
Te,52.0,127.6,136.0,2.1,0.20569920000000005,2.0,0.0,10.0,0.0,0.0,2.0,4.0,0.0,2.0,5.0,206.0,447.0,16.0,16.0
I,53.0,126.90447,133.0,2.66,0.2195176,1.0,0.0,10.0,0.0,0.0,1.0,5.0,0.0,2.0,5.0,198.0,450.0,17.0,17.0
Xe,54.0,131.293,131.0,2.6,0.2333511,0.0,0.0,10.0,0.0,0.0,0.0,6.0,0.0,2.0,5.0,216.0,440.4,18.0,18.0
Cs,55.0,132.905452,232.0,0.79,0.1542125,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,6.0,343.0,451.7,1.0,1.0
Ba,56.0,137.327,196.0,0.89,0.1586786,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,6.0,268.0,370.3,2.0,2.0
La,57.0,138.90547,180.0,1.1,0.163142,9.0,9.0,1.0,0.0,0.0,0.0,0.0,0.0,2.0,6.0,243.0,352.2,3.0,3.0
Ce,58.0,140.116,163.0,1.12,0.16760999999999998,22.0,9.0,1.0,13.0,1.0,0.0,0.0,0.0,2.0,6.0,242.0,355.6,3.0,4.0
Pr,59.0,140.90766000000005,176.0,1.13,0.17207999999999998,11.0,0.0,0.0,11.0,3.0,0.0,0.0,0.0,2.0,6.0,240.0,360.6,3.0,5.0
Nd,60.0,144.24200000000005,174.0,1.14,0.176539,10.0,0.0,0.0,10.0,4.0,0.0,0.0,0.0,2.0,6.0,239.0,357.5,3.0,6.0
Pm,61.0,144.91276000000005,173.0,1.13,0.1810032,9.0,0.0,0.0,9.0,5.0,0.0,0.0,0.0,2.0,6.0,238.0,354.7,3.0,7.0
Sm,62.0,150.36,172.0,1.17,0.185468,8.0,0.0,0.0,8.0,6.0,0.0,0.0,0.0,2.0,6.0,236.0,352.0,3.0,8.0
